시군명,사업장명,인허가일자,영업상태명,입소정원(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
용인시,삼계4리 경로당,20040331,운영중,30,경기도 용인시 처인구 포곡읍 두계로20번길 8,경기도 용인시 처인구 포곡읍 삼계리 555-9번지,17028,37.2793806723,127.2336166953
용인시,상리경로당,19950929,운영중,10,,경기도 용인시 처인구 이동면 묘봉리 212번지,17138,37.1338138090,127.2358974735
용인시,장율경로당,20000501,운영중,31,경기도 용인시 처인구 이동읍 경기동로1085번길 5,경기도 용인시 처인구 이동면 어비리 91-7번지,17139,37.1134562548,127.2183509703
용인시,월곡경로당,20000225,운영중,23,경기도 용인시 처인구 양지면 양지로23번길 10,경기도 용인시 처인구 양지면 양지리 758번지,17158,37.2298053376,127.2723637278
용인시,휴먼시아 45단지,20140522,운영중,22,,경기도 용인시 수지구 상현동,,37.3004420558,127.0753711663
용인시,남곡4리 경로당,20140725,운영중,27,경기도 용인시 처인구 양지면 남곡로33번길 13-2,경기도 용인시 처인구 양지면 남곡리 센텀스몰시티 502동 101호,17161,37.2302174800,127.2849744803
용인시,용인행정타운 두산위브3단지 경로당,20140922,운영중,23,,"경기도 용인시 처인구 삼가동 29, 용인행정타운두산위브3단지",16997,37.2515203967,127.1629380568
용인시,새터마을용마루노인회,20041022,운영중,0,,경기도 용인시 수지구 죽전동,,37.3322832920,127.1117575334
용인시,대림(아)경로당,20041103,운영중,60,경기도 용인시 기흥구 이현로29번길 86-25,경기도 용인시 기흥구 보정동 911번지,16931,37.3004004705,127.0961580388
용인시,삼계3리경로당,20040904,운영중,25,경기도 용인시 처인구 포곡읍 백옥대로1800번길 47-8,경기도 용인시 처인구 포곡읍 삼계리 319-58번지,17028,37.2872906972,127.2386816026
용인시,서홍마을 우남퍼스트빌(아)경로당,20041126,운영중,22,,경기도 용인시 수지구 신봉동,,37.3309607013,127.0736289770
용인시,성현반도유보라(아)경로당,20041222,운영중,26,,경기도 용인시 수지구 죽전동,,37.3322832920,127.1117575334
용인시,새천년그린빌4단지 경로당,20041227,운영중,69,,경기도 용인시 기흥구 신갈동 녹원마을새천년그린빌4단지아파트 관리동,,37.2857720056,127.1021053366
